2016-09-02	8809.650391
2016-09-06	8943.0
2016-09-07	8917.950195
2016-09-08	8952.5
2016-09-09	8866.700195
2016-09-12	8715.599609
2016-09-14	8726.599609
2016-09-15	8742.549805
2016-09-16	8779.849609
2016-09-19	8808.400391
2016-09-20	8775.900391
2016-09-21	8777.150391
2016-09-22	8867.450195
2016-09-23	8831.549805
2016-09-26	8723.049805
2016-09-27	8706.400391
2016-09-28	8745.150391
2016-09-29	8591.25
2016-09-30	8611.150391
2016-10-03	8738.099609
2016-10-04	8769.150391
2016-10-05	8743.950195
2016-10-06	8709.549805
2016-10-07	8697.599609
2016-10-10	8708.799805
2016-10-13	8573.349609
2016-10-14	8583.400391
2016-10-17	8520.400391
2016-10-18	8677.900391
2016-10-19	8659.099609
2016-10-20	8699.400391
2016-10-21	8693.049805
2016-10-24	8708.950195
2016-10-25	8691.299805
2016-10-26	8615.25
2016-10-27	8615.25
2016-10-28	8638.0
2016-11-01	8626.25
2016-11-02	8514.0
2016-11-03	8484.950195
2016-11-04	8433.75
2016-11-07	8497.049805
2016-11-08	8543.549805
2016-11-09	8432.0
2016-11-10	8525.75
2016-11-11	8296.299805
2016-11-15	8108.450195
2016-11-16	8111.600098
2016-11-17	8079.950195
2016-11-18	8074.100098
2016-11-21	7929.100098
2016-11-22	8002.299805
2016-11-23	8033.299805
2016-11-24	7965.5
2016-11-25	8114.299805
2016-11-28	8126.899902
2016-11-29	8142.149902
2016-11-30	8224.5
2016-12-01	8192.900391
2016-12-02	8086.799805
2016-12-05	8128.75
2016-12-06	8143.149902
2016-12-07	8102.049805
2016-12-08	8246.849609
2016-12-09	8261.75
2016-12-12	8170.799805
2016-12-13	8221.799805
2016-12-14	8182.450195
2016-12-15	8153.600098
2016-12-16	8139.450195
2016-12-19	8104.350098
2016-12-20	8082.399902
2016-12-21	8061.299805
2016-12-22	7979.100098
2016-12-23	7985.75
2016-12-26	7908.25
2016-12-27	8032.850098
2016-12-28	8034.850098
2016-12-29	8103.600098
2016-12-30	8185.799805
2017-01-02	8179.5
2017-01-03	8192.25
2017-01-04	8190.5
2017-01-05	8273.799805
2017-01-06	8243.799805
2017-01-09	8236.049805
2017-01-10	8288.599609
2017-01-11	8380.650391
2017-01-12	8407.200195
2017-01-13	8400.349609
2017-01-16	8412.799805
2017-01-17	8398.0
2017-01-18	8417.0
2017-01-19	8435.099609
2017-01-20	8349.349609
2017-01-23	8391.5
2017-01-24	8475.799805
2017-01-25	8602.75
2017-01-27	8641.25
2017-01-30	8632.75
2017-01-31	8561.299805
2017-02-01	8716.400391
2017-02-02	8734.25
2017-02-03	8740.950195
2017-02-06	8801.049805
2017-02-07	8768.299805
2017-02-08	8769.049805
2017-02-09	8778.400391
2017-02-10	8793.549805
2017-02-13	8805.049805
2017-02-14	8792.299805
2017-02-15	8724.700195
2017-02-16	8778.0
2017-02-17	8821.700195
2017-02-20	8879.200195
2017-02-21	8907.849609
2017-02-22	8926.900391
2017-02-23	8939.5
2017-02-27	8896.700195
2017-02-28	8879.599609
2017-03-01	8945.799805
2017-03-02	8899.75
2017-03-03	8897.549805
2017-03-06	8963.450195
2017-03-07	8946.900391
2017-03-08	8924.299805
2017-03-09	8927.0
2017-03-10	8934.549805
2017-03-14	9087.0
2017-03-15	9084.799805
2017-03-16	9153.700195
2017-03-17	9160.049805
2017-03-20	9126.849609
2017-03-21	9121.5
2017-03-22	9030.450195
2017-03-23	9086.299805
2017-03-24	9108.0
2017-03-27	9045.200195
2017-03-28	9100.799805
2017-03-29	9143.799805
2017-03-30	9173.75
2017-03-31	9173.75
2017-04-03	9237.849609
2017-04-05	9265.150391
2017-04-06	9261.950195
2017-04-07	9198.299805
2017-04-10	9181.450195
2017-04-11	9237.0
2017-04-12	9203.450195
2017-04-13	9150.799805
2017-04-17	9139.299805
2017-04-18	9105.150391
2017-04-19	9103.5
2017-04-20	9136.400391
2017-04-21	9119.400391
2017-04-24	9217.950195
2017-04-25	9306.599609
2017-04-26	9351.849609
2017-04-27	9342.150391
2017-04-28	9304.049805
2017-05-02	9313.799805
2017-05-03	9311.950195
2017-05-04	9359.900391
2017-05-05	9285.299805
2017-05-08	9314.049805
2017-05-09	9316.849609
2017-05-10	9407.299805
2017-05-11	9422.400391
2017-05-12	9400.900391
2017-05-15	9445.400391
2017-05-16	9512.25
2017-05-17	9525.75
2017-05-18	9429.450195
2017-05-19	9427.900391
2017-05-22	9438.25
2017-05-23	9386.150391
2017-05-24	9360.549805
2017-05-25	9509.75
2017-05-26	9595.099609
2017-05-29	9604.900391
2017-05-30	9624.549805
2017-05-31	9621.25
2017-06-01	9616.099609
2017-06-02	9653.5
2017-06-05	9675.099609
2017-06-06	9637.150391
2017-06-07	9663.900391
2017-06-08	9647.25
2017-06-09	9668.25
2017-06-12	9616.400391
2017-06-13	9606.900391
2017-06-14	9618.150391
2017-06-15	9578.049805
2017-06-16	9588.049805
2017-06-19	9657.549805
2017-06-20	9653.5
2017-06-21	9633.599609
2017-06-22	9630.0
2017-06-23	9574.950195
2017-06-27	9511.400391
2017-06-28	9491.25
2017-06-29	9504.099609
2017-06-30	9520.900391
2017-07-03	9615.0
2017-07-04	9613.299805
2017-07-05	9637.599609
2017-07-06	9674.549805
2017-07-07	9665.799805
2017-07-10	9771.049805
2017-07-11	9786.049805
2017-07-12	9816.099609
2017-07-13	9891.700195
2017-07-14	9886.349609
2017-07-17	9915.950195
2017-07-18	9827.150391
2017-07-19	9899.599609
2017-07-20	9873.299805
2017-07-21	9915.25
2017-07-24	9966.400391
2017-07-25	9964.549805
2017-07-26	10020.650391
2017-07-27	10020.549805
2017-07-28	10014.5
2017-07-31	10077.099609
2017-08-01	10114.650391
2017-08-02	10081.5
2017-08-03	10013.650391
2017-08-04	10066.400391
2017-08-07	10057.400391
2017-08-08	9978.549805
2017-08-09	9908.049805
2017-08-10	9820.25
2017-08-11	9710.799805
2017-08-14	9794.150391
2017-08-16	9897.299805
2017-08-17	9904.150391
2017-08-18	9837.400391
2017-08-21	9754.349609
2017-08-22	9765.549805
2017-08-23	9852.5
2017-08-24	9857.049805
2017-08-28	9912.799805
2017-08-29	9796.049805
2017-08-30	9884.400391
2017-08-31	9917.900391
2017-09-01	9974.400391
2017-09-04	9912.849609
2017-09-05	9952.200195
2017-09-06	9916.200195
2017-09-07	9929.900391
2017-09-08	9934.799805
2017-09-11	10006.049805
2017-09-12	10093.049805
2017-09-13	10079.299805
2017-09-14	10086.599609
2017-09-15	10085.400391
2017-09-18	10153.099609
2017-09-19	10147.549805
2017-09-20	10141.150391
2017-09-21	10121.900391
2017-09-22	9964.400391
2017-09-25	9872.599609
2017-09-26	9871.5
2017-09-27	9735.75
2017-09-28	9768.950195
2017-09-29	9788.599609
2017-10-03	9859.5
2017-10-04	9914.900391
2017-10-05	9888.700195
2017-10-06	9979.700195
2017-10-09	9988.75
2017-10-10	10016.950195
2017-10-11	9984.799805
2017-10-12	10096.400391
2017-10-13	10167.450195
2017-10-16	10230.849609
2017-10-17	10234.450195
2017-10-18	10210.849609
2017-10-23	10184.849609
2017-10-24	10207.700195
2017-10-25	10295.349609
2017-10-26	10343.799805
2017-10-27	10323.049805
2017-10-30	10363.650391
2017-10-31	10335.299805
2017-11-01	10440.5
2017-11-02	10423.799805
2017-11-03	10452.5
2017-11-06	10451.799805
2017-11-07	10350.150391
2017-11-08	10303.150391
2017-11-09	10308.950195
2017-11-10	10321.75
2017-11-13	10224.950195
2017-11-14	10186.599609
2017-11-15	10118.049805
2017-11-16	10214.75
2017-11-17	10283.599609
2017-11-20	10298.75
2017-11-21	10326.900391
2017-11-22	10342.299805
2017-11-23	10348.75
2017-11-24	10389.700195
2017-11-27	10399.549805
2017-11-28	10370.25
2017-11-29	10361.299805
2017-11-30	10226.549805
2017-12-01	10121.799805
2017-12-04	10127.75
2017-12-05	10118.25
2017-12-06	10044.099609
2017-12-07	10166.700195
2017-12-08	10265.650391
2017-12-11	10322.25
2017-12-12	10240.150391
2017-12-13	10192.950195
2017-12-14	10252.099609
2017-12-15	10333.25
2017-12-18	10388.75
2017-12-19	10463.200195
2017-12-20	10444.200195
2017-12-21	10440.299805
2017-12-22	10493.0
2017-12-26	10531.5
2017-12-27	10490.75
2017-12-28	10477.900391
2017-12-29	10530.700195
